region,planting_code,planting_label,scenario,cultivar_id,maturity_class,family,stage,threshold_code,threshold_label,plot_label,threshold_order,n,event_cases,no_event_cases,event_probability_pct,mean_yield_event_kg_ha,mean_yield_no_event_kg_ha,fe_status,beta_event_minus_noevent_kg_ha,associated_penalty_kg_ha,associated_penalty_pct,se_cluster_site,ci95_low_penalty_kg_ha,ci95_high_penalty_kg_ha,p_value,significant_positive_penalty
Southeast,M20,May 20,Rainfed,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,20444,7796,12648,38.1334376834279,2707.374551051821,6859.518342820999,ESTIMABLE,-1317.8135058459095,1317.8135058459095,19.21145829758004,30.46896694337014,1258.0954279907626,1377.5315837010564,0.0,True
Northeast,A10,April 10,Irrigated,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H30,Tmax ≥ 30°C,≥30°C,3,17746,17713,33,99.81404260114957,6626.540111782307,8183.242424242424,ESTIMABLE,-1290.6787948675742,1290.6787948675742,15.77221751422158,41.90555609361969,1208.5454141719565,1372.812175563192,2.6443250759387296e-208,True
Southeast,A20,April 20,Rainfed,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H35,Tmax ≥ 35°C,≥35°C,4,20444,6832,13612,33.418117785169244,4476.963114754099,7559.209300617103,ESTIMABLE,-1276.8829826909375,1276.8829826909375,16.891753249730737,28.73709964647561,1220.5593023637066,1333.2066630181685,0.0,True
Southeast,M20,May 20,Rainfed,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H30,Tmax ≥ 30°C,≥30°C,3,20444,20377,67,99.67227548424964,6321.960396525495,8206.611940298508,ESTIMABLE,-1274.958812410659,1274.958812410659,15.535751192888544,95.31484694653754,1088.1451452034978,1461.7724796178202,8.320022913667159e-41,True
Northeast,A20,April 20,Rainfed,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,17746,8052,9694,45.37360531950862,2811.888350720318,6726.397874974211,ESTIMABLE,-1267.722562430145,1267.722562430145,18.846975543132075,31.541245193977907,1205.9028578224013,1329.542267037889,0.0,True
Northeast,A1,April 1,Rainfed,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H35,Tmax ≥ 35°C,≥35°C,4,17746,9392,8354,52.92460272737518,2754.7701235093696,6602.487072061288,ESTIMABLE,-1261.415990489781,1261.415990489781,19.105164110468586,48.560100996361136,1166.2399414512856,1356.5920395282765,9.155681543172546e-149,True
Northwest,A10,April 10,Rainfed,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H35,Tmax ≥ 35°C,≥35°C,4,18192,17479,713,96.0806948109059,2129.147548486756,6534.3352033660585,ESTIMABLE,-1233.1946459961125,1233.1946459961125,18.87253419997265,52.93592383575072,1129.4421417896856,1336.947150202539,4.8684527883573706e-120,True
Northwest,M10,May 10,Rainfed,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H35,Tmax ≥ 35°C,≥35°C,4,18904,18167,737,96.10135421074904,2719.558980569164,8795.139755766622,ESTIMABLE,-1228.985683072247,1228.985683072247,13.973463949409672,56.648074465640384,1117.9574973260487,1340.0138688184452,2.282246021861961e-104,True
Southeast,M10,May 10,Rainfed,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,20444,8214,12230,40.17804734885541,2484.2499391283177,6562.507686017989,ESTIMABLE,-1220.7806743913332,1220.7806743913332,18.602350394077494,30.540277121293133,1160.922831155726,1280.6385176269405,0.0,True
Southeast,M10,May 10,Rainfed,990003,SS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,20444,2123,18321,10.384464879671295,2135.913801224682,4384.103542383058,ESTIMABLE,-1212.224829826823,1212.224829826823,27.650460763704874,24.07652685921669,1165.035704309947,1259.413955343699,0.0,True
Northeast,A1,April 1,Irrigated,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H30,Tmax ≥ 30°C,≥30°C,3,17746,17713,33,99.81404260114957,6462.834302489697,7826.484848484848,ESTIMABLE,-1192.7813061702666,1192.7813061702666,15.240319623198154,22.066258844457074,1149.5322335615922,1236.030378778941,0.0,True
Southeast,A20,April 20,Rainfed,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,20444,6128,14316,29.974564664449225,2419.906005221932,6195.792469963677,ESTIMABLE,-1190.413926156136,1190.413926156136,19.213263386840243,33.973384548149575,1123.8273160088331,1257.0005363034386,5.614755604586107e-269,True
Northeast,M20,May 20,Rainfed,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,17746,7941,9805,44.74811225064804,4013.726105024556,8286.686588475268,ESTIMABLE,-1189.7436692784834,1189.7436692784834,14.357290535557636,35.805710168178585,1119.5657669079735,1259.921571648993,4.277540576027904e-242,True
