family,threshold_code,threshold_label,estimable_regional_models,significant_positive_penalty_models,median_penalty_kg_ha,median_penalty_pct,median_event_probability_pct,max_penalty_kg_ha,max_penalty_pct
Cold,C0,Tmin ≤ 0°C,45,5,-645.4351354586927,-10.2441186491869,1.7719649825967725,891.223914488259,29.542844151950558
Cold,Cm2p2,Tmin ≤ −2.2°C,31,3,-405.6725876541116,-6.844338872451951,0.6254930688605883,341.6641005759859,5.558781954397843
Cold,Cm4,Tmin ≤ −4°C,21,1,-340.70957682181614,-9.146692218386525,2.1864082046658404,169.25866579704683,2.41446682225842
Heat,H30,Tmax ≥ 30°C,164,64,5.760353342728447,0.19632931650464036,97.2433952291648,1290.6787948675742,17.12916290206044
Heat,H35,Tmax ≥ 35°C,286,209,178.31433258271335,3.1795281382570577,69.93275137907642,1882.6874476966443,57.30380823894544
Heat,H38,Tmax ≥ 38°C,288,245,251.05696369703617,5.3594824723940615,37.125713351349006,2590.059823145204,39.304115730036834
