region,planting_code,planting_label,cultivar_id,maturity_class,n_years,n_sites,irrigation_mean_mm,incremental_benefit_mean_kg_ha,incremental_iwue_mean_kg_m3,gross_irrigation_productivity_mean_kg_m3,yield_gap_mean_percent,rainfed_seasonal_precip_mean_mm,mean_yield_kg_ha,scenario,best_mean_yield_kg_ha,yield_penalty_kg_ha,yield_penalty_pct,p_freeze_growing_pct,p_heat35_flowering_pct,p_heat38_flowering_pct,p_heat35_reproductive_pct,p_heat38_reproductive_pct,p_heat35_growing_pct,p_heat38_growing_pct,thermal_screening_index_pct,pareto_yield_thermal,thermal_screening_min_within_cell
Northcentral,A1,April 1,990001,LS,38,512,278.7661903782895,2977.4037828947367,1.0550161408756633,2.847181519678716,53.26593359575101,455.9104132401316,3023.9161698190787,Rainfed,3563.9499897203946,540.0338199013158,15.152676705872732,85.83984375,87.00657894736842,54.918791118421055,96.44325657894736,90.20353618421052,97.23992598684212,91.76089638157896,86.20183270676692,True,False
Northcentral,A1,April 1,990002,MS,38,512,213.29795435855263,3104.6600020559213,1.376791575548225,4.285605573732028,45.81411313745514,393.4283511513158,4089.1806126644738,Rainfed,4326.049547697368,236.86893503289457,5.475409664666765,85.83984375,74.55283717105263,31.4453125,96.93667763157896,85.80386513157895,96.93667763157896,86.72388980263158,79.74844337406014,True,False
Northcentral,A1,April 1,990003,SS,38,512,139.64201274671052,1122.4839124177631,0.7041059318377163,3.814560055798208,27.22063425723777,337.9592413651316,3166.4267064144738,Rainfed,3237.0057565789475,70.57905016447376,2.180380742945163,85.83984375,44.79337993421053,14.40686677631579,94.24342105263158,67.93277138157895,94.24342105263158,69.12006578947368,67.22568139097744,True,False
Northcentral,A1,April 1,990004,VSS,38,512,69.30252878289474,229.70764802631575,0.2170630612174968,4.1860311941964286,7.844572241312882,288.4573910361842,2129.065635279605,Rainfed,2697.9737356085525,568.9081003289475,21.08649512856081,85.83984375,23.905222039473685,3.7726151315789473,83.52693256578948,49.23930921052632,85.24876644736842,50.328947368421055,54.55166235902256,True,False
Northcentral,A10,April 10,990001,LS,38,512,276.08963815789474,3058.9523026315787,1.087104784081952,3.1434759741011264,54.06524770507314,540.1876027960526,3016.6950555098683,Rainfed,3563.9499897203946,547.2549342105262,15.35529218392485,68.36451480263158,88.08203411112274,57.858114471068326,96.3796170346343,90.35785288270378,97.01377467105264,91.02076480263158,84.15381039654929,True,False
Northcentral,A10,April 10,990002,MS,38,512,212.6156455592105,2948.7269736842104,1.2842495002393943,4.640686706076935,43.81035660748312,476.7358655427632,4225.355725740132,Rainfed,4326.049547697368,100.69382195723665,2.327616011953286,68.36451480263158,80.42272679711206,39.70388197132991,97.127759757246,85.95793659098044,96.95209703947368,86.03001644736842,79.222704772306,True,False
Northcentral,A10,April 10,990003,SS,38,512,149.65177837171052,1117.1507504111842,0.6184797290691307,3.7954032554354,27.14811441477464,423.7689144736842,3190.4812397203946,Rainfed,3237.0057565789475,46.52451685855294,1.4372701303973803,68.36451480263158,52.77806843151617,17.536883959401486,94.57988908653344,73.94579889086533,94.44901315789474,73.95148026315789,67.94366408457152,True,False
Northcentral,A10,April 10,990004,VSS,38,512,79.96761924342105,154.73108552631578,0.1088004219533207,3.631703379297854,5.041850449329573,376.0697471217105,2204.7294921875,Rainfed,2697.9737356085525,493.2442434210525,18.282025392281916,68.36451480263158,26.786648529873396,5.095741341425134,86.54389452757141,55.49335565554044,87.69017269736842,55.33511513157895,55.04420609799848,True,False
Northcentral,A20,April 20,990001,LS,38,512,277.2923519736842,3144.3780324835525,1.1173540701225009,3.2341635883015525,53.968944003792416,554.0218955592105,3127.856805098684,Rainfed,3563.9499897203946,436.0931846217104,12.236231874171825,20.5078125,91.020621247716,66.71887235708692,96.15244061602716,90.06525711302532,97.23992598684212,91.32401315789474,79.00413471122748,True,False
Northcentral,A20,April 20,990002,MS,38,512,216.1119962993421,3000.530530427632,1.2950998319532725,4.764793477906912,45.08120633897944,487.368986430921,4064.063219572368,Rainfed,4326.049547697368,261.98632812500045,6.056017741739648,20.245682565789476,79.48838423388149,47.89350039154268,97.1808927173062,86.9590185330201,97.22450657894736,87.27384868421052,73.75226195781397,True,True
Northcentral,A20,April 20,990003,SS,38,512,151.52780633223685,1085.5160361842106,0.6071837539881537,3.6602308961472096,27.357956063379657,434.9221833881579,3160.474249588816,Rainfed,3237.0057565789475,76.53150699013167,2.3642684859175085,20.245682565789476,64.49490994518402,24.34873401200731,94.56016705820934,76.05324980422866,95.21484375,76.73211348684211,64.52138580318012,True,True
Northcentral,A20,April 20,990004,VSS,38,512,89.20769942434211,175.51156455592104,0.1377121338502506,3.851401664153874,6.17171770405426,394.6299342105263,2588.1421669407896,Rainfed,2697.9737356085525,109.8315686677629,4.0708909511674465,20.245682565789476,33.260245366744975,7.209605847037327,92.03341164186897,61.98381623596972,92.28001644736842,62.32010690789474,52.76184071609623,True,True
Northcentral,M1,May 1,990001,LS,38,512,278.30360814144734,3311.6775801809213,1.1929095342044973,3.349223386249818,55.23751092875675,574.4841180098684,3183.414576480264,Rainfed,3563.9499897203946,380.53541324013077,10.677349972298158,10.773026315789474,92.42393092105264,70.47183388157895,95.31763980263158,88.98026315789474,97.23992598684212,92.12582236842104,78.19034891917295,True,False
Northcentral,M1,May 1,990002,MS,38,512,220.0529399671053,3080.9333367598683,1.3205306642468764,4.725054859128481,46.28122696135955,509.4946032072368,4067.1772717927633,Rainfed,4326.049547697368,258.872275904605,5.984034002624756,9.400699013157896,83.86615953947368,56.91817434210526,97.17824835526316,89.12417763157895,97.22450657894736,90.15727796052632,74.83846334586465,True,False
Northcentral,M1,May 1,990003,SS,38,512,158.77107319078948,967.6748560855264,0.5206503640091633,3.487940269891498,25.54189632542268,458.7718441611842,3237.0057565789475,Rainfed,3237.0057565789475,0.0,0.0,9.400699013157896,72.91837993421052,31.49157072368421,95.32277960526316,80.43791118421052,95.89329769736842,81.08038651315789,66.6492892387218,True,False
Northcentral,M1,May 1,990004,VSS,38,512,96.83002672697368,150.150390625,0.094566250097901,3.616726266267884,5.486559887963101,415.51639597039474,2594.844983552632,Rainfed,2697.9737356085525,103.12875205592036,3.8224520385354577,9.400699013157896,45.23540296052632,14.283511513157896,93.51870888157896,66.27775493421052,93.64206414473684,66.92023026315789,55.611195958646626,True,False
Northcentral,M10,May 10,990001,LS,38,512,280.9583162006579,3444.75390625,1.23708115079693,3.489728575398809,55.608616348497904,591.7793996710526,3224.6122018914475,Rainfed,3563.9499897203946,339.33778782894706,9.521395889608693,6.707442434210527,91.62726151315788,73.40666118421052,95.10176809210526,85.62911184210526,97.23992598684212,92.00760690789474,77.3885397086466,True,False
Northcentral,M10,May 10,990002,MS,38,512,222.50719572368425,3267.5307360197367,1.4039497111815216,4.859232433166655,47.89514052516292,528.1385690789474,4124.673879523027,Rainfed,4326.049547697368,201.37566817434163,4.654955195358965,2.1227384868421053,89.51994243421052,60.45949835526316,96.31990131578948,88.76439144736842,97.23992598684212,90.95394736842104,75.05433505639098,True,False
Northcentral,M10,May 10,990003,SS,38,512,166.8752569901316,1109.1437602796052,0.5578508141449651,3.4190620716893902,29.423232761153688,475.68868215460526,3091.127569901316,Rainfed,3237.0057565789475,145.87818667763167,4.506577919459867,2.1227384868421053,79.98046875,47.70764802631579,95.19942434210526,85.24362664473684,96.1400082236842,86.19449013157895,70.36977208646617,True,False
Northcentral,M10,May 10,990004,VSS,38,512,106.89633018092104,226.1989617598684,0.1566237651865221,3.4861938738596017,8.446322823588458,432.0727282072368,2697.9737356085525,Rainfed,2697.9737356085525,0.0,0.0,2.1227384868421053,61.65193256578947,19.98355263157895,94.72142269736842,73.62253289473684,94.72142269736842,74.00801809210526,60.11880286654135,True,False
Northcentral,M20,May 20,990001,LS,38,512,281.7691200657895,3637.087222450658,1.270329483982674,3.900421270825487,53.94786941951697,609.7348889802631,3563.9499897203946,Rainfed,3563.9499897203946,0.0,0.0,10.916940789473683,87.4537417763158,68.3131167763158,94.71628289473684,76.62417763157895,97.23992598684212,91.80201480263158,75.2951715225564,True,True
Northcentral,M20,May 20,990002,MS,38,512,226.806640625,3522.175472861842,1.4935920927027302,5.210794241953268,48.8583259045116,549.7430612664474,4326.049547697368,Rainfed,4326.049547697368,0.0,0.0,0.0,92.40851151315788,68.61122532894737,95.31763980263158,88.11677631578948,97.23992598684212,91.38569078947368,76.15425281954887,True,False
Northcentral,M20,May 20,990003,SS,38,512,175.5602384868421,1365.5166529605262,0.6817018816595503,3.637679141729296,34.263929066203964,500.10829564144734,3091.227847450658,Rainfed,3237.0057565789475,145.7779091282896,4.5034800704944065,0.0,86.8678042763158,58.0078125,96.44325657894736,87.70045230263158,97.22450657894736,90.01850328947368,73.7517622180451,True,False
Northcentral,M20,May 20,990004,VSS,38,512,118.53926809210526,293.8987972861842,0.1772479589866,3.328179344586905,11.47981228032969,450.9581106085527,2629.682257401316,Rainfed,2697.9737356085525,68.29147820723665,2.53121360322779,0.0,74.62479440789474,33.63486842105263,95.24568256578948,79.57956414473684,95.81620065789474,80.54584703947368,65.63527960526316,True,False
Northeast,A1,April 1,990001,LS,38,467,196.4738532627071,1899.271948608137,0.8251566660340858,5.89485701274234,33.82517403547492,560.6518088583342,4566.098162966303,Rainfed,5473.686577256846,907.5884142905434,16.580935014832068,85.77144145159473,52.92460272737518,32.13681956497239,88.51008678011947,65.93035050152147,89.42860362898682,66.58965400653669,68.75593695158668,True,False
Northeast,A1,April 1,990002,MS,38,467,149.13924264623014,1640.273470077764,0.8789248066408583,8.388772552760686,23.87002720153753,482.1377211766032,6213.56102783726,Rainfed,6465.524512566211,251.9634847289517,3.897030847833653,85.77144145159473,29.381269018370336,7.190352755550546,84.50355009579624,58.925955144821366,84.5429956046433,59.230249070213006,58.506544734427074,True,False
Northeast,A1,April 1,990003,SS,38,467,98.65462639468048,468.88498816634734,0.3056128874519047,6.304511898191719,11.450869899203928,421.0503211991434,4058.5009579623575,Rainfed,4228.865209061197,170.3642510988393,4.028604428767309,85.77144145159473,15.423193959202074,1.5327397723430631,67.0855404034712,40.843006874788685,67.0855404034712,41.045869491716445,45.541047479512486,True,False
Northeast,A1,April 1,990004,VSS,38,467,54.9715428829032,80.94376197452948,0.0806754697235594,5.572600733632798,2.726229723795912,368.0318381607123,2338.3436267327847,Rainfed,3035.6004733461064,697.2568466133216,22.969321975521492,85.77144145159473,5.201172095120027,0.1183365265411923,48.60250197227544,12.290093542206694,49.88729854615124,12.492956159134453,30.623400041860542,True,False
Northeast,A10,April 10,990001,LS,38,467,184.7669897441677,1751.5907810210751,0.7561324864351261,6.980245801092436,31.120103041969926,679.061140538713,4877.844133889327,Rainfed,5473.686577256846,595.8424433675191,10.885578393239447,67.49126563732672,58.14831511326496,34.875464893497124,88.6791389608926,65.54716555843571,89.8005184266877,66.47695255268793,67.28840302039896,True,False
Northeast,A10,April 10,990002,MS,38,467,143.6239152485067,1268.1757579172772,0.6234156138838433,8.874357387315717,19.301257591924436,597.830102558323,6465.524512566211,Rainfed,6465.524512566211,0.0,0.0,67.49126563732672,36.44765017468725,10.943311168714075,86.19970697622,60.31781809985349,86.23915248506705,60.62211202524512,58.32300236673053,True,False
Northeast,A10,April 10,990003,SS,38,467,101.73841992561704,365.4473120703257,0.2192961699150868,6.430651831618173,9.364808407379185,540.5778203538825,4200.670348247492,Rainfed,4228.865209061197,28.19486081370451,0.666724036351202,67.49126563732672,19.55933731545137,2.845711709681055,72.7149780232165,45.74552011720951,72.7149780232165,45.94838273413727,46.71716765146271,True,False
Northeast,A10,April 10,990004,VSS,38,467,59.13867913896089,26.533923137608475,0.0218284039864114,5.253769762199933,0.9444804150090864,490.6433562492956,2398.26749690071,Rainfed,3035.6004733461064,637.3329764453965,20.995285184643286,67.49126563732672,8.27792178519103,0.1183365265411923,51.87084413388933,16.978474022314888,52.78372591006424,17.181336639242645,30.67170066493858,True,False
Northeast,A20,April 20,990001,LS,38,467,185.92499718246367,1818.3025470528569,0.7740243769100751,6.9534464803875,31.87711149854367,694.1950298658852,4950.243773244675,Rainfed,5473.686577256846,523.4428040121711,9.562893246154696,21.790826101656712,66.44877718922574,45.37360531950862,88.83692099628085,64.68499943649273,89.98084075284571,66.94466358616026,63.437233340310094,False,False
Northeast,A20,April 20,990002,MS,38,467,147.9248844810098,1296.722698072805,0.6249718412881182,8.345149406662625,20.27157841730552,610.6805477290658,6259.340076636989,Rainfed,6465.524512566211,206.18443592922267,3.1889823560097623,21.452721740110448,45.48630677335738,16.910853150005636,87.6197452947143,62.6789135579849,87.65919080356137,63.01701791953116,54.97496417703788,True,True
Northeast,A20,April 20,990003,SS,38,467,103.7360531950862,358.6188436830835,0.2156660572331483,6.124244392208214,9.285613285670824,551.401667981517,4185.76952552688,Rainfed,4228.865209061197,43.09568353431678,1.0190838772060073,21.452721740110448,21.76828581088696,4.485517863180435,76.48484165445734,49.64499042037642,76.48484165445734,49.84785303730418,42.88129316868187,True,True
Northeast,A20,April 20,990004,VSS,38,467,62.590161163079,39.18116758706187,0.0308596577095844,5.76712521346192,1.4388075057025187,506.8999211089824,2746.9124873210862,Rainfed,3035.6004733461064,288.6879860250201,9.51007843620484,21.452721740110448,12.081595852586496,0.4564408880874563,57.889101769412825,27.00326834216161,58.02434351403133,27.20613095908937,29.159086152211362,True,True
Northeast,M1,May 1,990001,LS,38,467,186.81111236334948,1898.0994026822948,0.7764640154789607,6.889960736708932,32.97118095010155,715.0032119914347,5012.06981855066,Rainfed,5473.686577256846,461.6167587061864,8.433379445293832,11.140538712949397,65.58661106728277,44.894624140651416,86.61670235546039,63.42274315338668,89.98084075284571,67.01228445846951,61.236334948720845,True,False
Northeast,M1,May 1,990002,MS,38,467,153.21480897103572,1523.0113264961117,0.745610283631742,7.981938235475658,23.252977447256885,627.284627521695,6151.6206469063445,Rainfed,6465.524512566211,313.9038656598668,4.855040995510451,6.457793305533642,52.28220444043728,28.023216499492843,88.14944212780345,64.55539276456666,88.76366505127916,64.98365828919194,56.173624639757854,True,False
Northeast,M1,May 1,990003,SS,38,467,110.63760847514932,401.0173560238927,0.2383633910794116,5.760409987568688,10.35393011513562,569.2476050941057,4133.131015440099,Rainfed,4228.865209061197,95.7341936210978,2.263827028962001,6.457793305533642,28.885382621435816,7.539727262481686,82.1537247830497,52.81753634621887,82.1537247830497,52.918967654682746,44.703836679493165,True,False
Northeast,M1,May 1,990004,VSS,38,467,68.54220669446636,40.9916600924152,0.031051326388777,5.222519685455609,1.3788449688434548,523.8668995830046,2783.8269469176157,Rainfed,3035.6004733461064,251.77352642849064,8.29402711717737,6.457793305533642,18.404147413501637,1.7525076073481347,60.20511664600473,33.596303392313764,60.34035839062324,33.596303392313764,30.62179002109127,True,False
Northeast,M10,May 10,990001,LS,38,467,188.20015778203535,1948.0815958525864,0.8067311134834462,6.76816846205496,33.209087974023966,740.1429617942072,5123.9811225064805,Rainfed,5473.686577256846,349.7054547503658,6.388846891661482,11.298320748337654,71.06390172433224,48.06153499380142,86.03065479544686,56.63811563169165,89.98084075284571,67.01228445846951,61.44080758641787,True,False
Northeast,M10,May 10,990002,MS,38,467,156.78885382621434,1649.0668319621325,0.8120736423493607,8.042774584985871,24.992092373764446,648.3410345993464,6303.792572974191,Rainfed,6465.524512566211,161.73193959202035,2.501451185865628,0.0,58.00743829595402,33.63011382846839,87.9184041474135,65.3668432322777,89.18066043051955,66.26845486306773,57.195987828242984,True,False
Northeast,M10,May 10,990003,SS,38,467,119.97774146286486,485.9146286487096,0.2722230815992678,5.361547054206798,12.683736347598789,588.4349149104023,4044.57860926406,Rainfed,4228.865209061197,184.28659979713666,4.357826288770459,0.0,46.94015552800631,15.907810210751718,85.50659303505016,60.26146737292911,85.54603854389721,60.36289868139299,50.64642333886108,True,False
Northeast,M10,May 10,990004,VSS,38,467,74.6280852022991,39.6192944888989,0.030869204059399,5.33795316717919,1.5257166404614115,540.7567339118675,3035.6004733461064,Rainfed,3035.6004733461064,0.0,0.0,0.0,23.470077764003157,2.090611968894399,69.83545587738082,46.13434013298772,69.83545587738082,46.13434013298772,36.785754536233526,True,False
Northeast,M20,May 20,990001,LS,38,467,189.649780232165,2153.0100304293924,0.8785349676035142,6.839445297777473,33.471070874016306,770.7162740899357,5473.686577256846,Rainfed,5473.686577256846,0.0,0.0,17.958976670799053,72.47266989744168,44.21278034486645,82.08610391074045,53.01476389045418,89.98084075284571,67.01228445846951,60.96263141794528,True,True
Northeast,M20,May 20,990002,MS,38,467,161.3659416206469,1822.622112025245,0.8467301412160593,8.133348500086688,27.02930103855393,674.4101205905556,6374.617434914911,Rainfed,6465.524512566211,90.90707765129991,1.4060278864400788,0.0,67.6377775273301,44.74811225064804,86.00247943198467,62.79725008452609,89.8005184266877,66.47131747999549,59.63677931445316,True,False
Northeast,M20,May 20,990003,SS,38,467,130.0602952778091,591.1187873323565,0.330842295608395,5.141642722224493,15.204754276507822,613.4457342499718,4228.865209061197,Rainfed,4228.865209061197,0.0,0.0,0.0,53.161275780457565,29.471430181449342,87.36616702355461,62.24501296066719,87.91276907472107,63.46218866223374,54.80269195472622,True,False
Northeast,M20,May 20,990004,VSS,38,467,86.25042263045194,93.81640933168038,0.062815789742021,4.7647522600219325,3.431142537991654,564.3849881663473,3031.663698861716,Rainfed,3035.6004733461064,3.9367744843902983,0.1296868451219748,0.0,27.87670460948946,6.812802885157218,79.39817423644764,52.4794319846726,79.47706525414178,52.58086329313648,42.660720323292175,False,False
Northwest,A1,April 1,990001,LS,38,499,369.1250922898428,4334.81035755722,1.1751313135333887,1.95047206079668,67.81253111345275,362.7592553528109,2265.9538550785783,Rainfed,2376.3952642126355,110.44140913405727,4.6474343219434715,92.33730619133004,96.62969742651018,78.50759125659523,99.1601162915904,89.67912135242813,98.03290792110536,94.42569349224766,92.68177627597242,False,False
Northwest,A1,April 1,990002,MS,38,499,280.8168969517984,5036.191382765531,1.8191714826817535,3.0018013365663045,65.8479023788007,316.70129733150515,2728.5201982913195,Rainfed,2947.381394367683,218.86119607636329,7.425615038983332,92.33730619133004,95.76047775326842,65.90627858180449,99.98385968687792,95.22784742023995,98.03290792110536,93.566079527476,91.54496529744317,True,False
