planting_code,planting_label,region,scenario,cultivar_id,maturity_class,maturity_class_long,stage,stage_label,threshold,threshold_label,n_sites,valid_site_years,event_site_years,equal_site_mean_probability_pct,mean_exposure_days,mean_exceedance_degree_c_days,mean_longest_consecutive_run_days,pooled_probability_pct
A1,April 1,Northcentral,Irrigated,990002,MS,Medium Season,flowering15,Flowering/silking proxy (ADAT ±7 d),tmax_ge35,Tmax ≥ 35°C,512,19456,14505,74.55283717105263,3.0182976973684212,6.20891755756579,2.0562294407894735,74.55283717105263
A1,April 1,Northcentral,Irrigated,990002,MS,Medium Season,flowering15,Flowering/silking proxy (ADAT ±7 d),tmax_ge38,Tmax ≥ 38°C,512,19456,6118,31.4453125,0.7740028782894737,1.3061266447368423,0.6450452302631579,31.4453125
A1,April 1,Northcentral,Irrigated,990002,MS,Medium Season,flowering15,Flowering/silking proxy (ADAT ±7 d),tmin_le0,Tmin ≤ 0°C,512,19456,0,0.0,0.0,,,0.0
A1,April 1,Northcentral,Irrigated,990002,MS,Medium Season,growing,Planting to maturity,tmax_ge30,Tmax ≥ 30°C,512,19456,19456,100.0,47.1643708881579,202.80469263980262,,100.0
A1,April 1,Northcentral,Irrigated,990002,MS,Medium Season,growing,Planting to maturity,tmax_ge35,Tmax ≥ 35°C,512,19456,18860,96.93667763157895,17.42860814144737,47.67008634868421,6.702302631578948,96.93667763157895
A1,April 1,Northcentral,Irrigated,990002,MS,Medium Season,growing,Planting to maturity,tmax_ge38,Tmax ≥ 38°C,512,19456,16880,86.75986842105263,6.871299342105263,13.560685649671054,3.5625,86.75986842105263
A1,April 1,Northcentral,Irrigated,990002,MS,Medium Season,growing,Planting to maturity,tmin_le0,Tmin ≤ 0°C,512,19456,16701,85.83984375,4.728258634868421,,,85.83984375
A1,April 1,Northcentral,Irrigated,990002,MS,Medium Season,reproductive,Anthesis to maturity,tmax_ge30,Tmax ≥ 30°C,512,19456,19456,100.0,33.109220805921055,163.33758737664473,,100.0
A1,April 1,Northcentral,Irrigated,990002,MS,Medium Season,reproductive,Anthesis to maturity,tmax_ge35,Tmax ≥ 35°C,512,19456,18860,96.93667763157895,14.902754934210526,43.7341951069079,6.621247944078947,96.93667763157895
A1,April 1,Northcentral,Irrigated,990002,MS,Medium Season,reproductive,Anthesis to maturity,tmax_ge38,Tmax ≥ 38°C,512,19456,16701,85.83984375,6.473838404605264,13.200565378289474,3.5167043585526314,85.83984375
A1,April 1,Northcentral,Irrigated,990002,MS,Medium Season,reproductive,Anthesis to maturity,tmin_le0,Tmin ≤ 0°C,512,19456,0,0.0,0.0,,,0.0
A1,April 1,Northcentral,Irrigated,990002,MS,Medium Season,vegetative,Emergence to pre-anthesis,tmax_ge30,Tmax ≥ 30°C,512,19456,19303,99.21361019736842,13.835012335526317,39.245960115131574,,99.21361019736842
A1,April 1,Northcentral,Irrigated,990002,MS,Medium Season,vegetative,Emergence to pre-anthesis,tmax_ge35,Tmax ≥ 35°C,512,19456,13549,69.63918585526316,2.525853207236842,3.935891241776316,1.4511204769736843,69.63918585526316
A1,April 1,Northcentral,Irrigated,990002,MS,Medium Season,vegetative,Emergence to pre-anthesis,tmax_ge38,Tmax ≥ 38°C,512,19456,4769,24.511718749999996,0.3974609375,0.36012027138157904,0.3246299342105263,24.51171875
A1,April 1,Northcentral,Irrigated,990002,MS,Medium Season,vegetative,Emergence to pre-anthesis,tmin_le0,Tmin ≤ 0°C,512,19456,5190,26.675575657894736,0.5582853618421052,,,26.675575657894736
A1,April 1,Northcentral,Irrigated,990003,SS,Short Season,establishment,Planting to emergence,tmax_ge30,Tmax ≥ 30°C,512,19456,4906,25.215871710526315,0.30535567434210525,0.36242804276315793,,25.215871710526315
A1,April 1,Northcentral,Irrigated,990003,SS,Short Season,establishment,Planting to emergence,tmax_ge35,Tmax ≥ 35°C,512,19456,0,0.0,0.0,0.0,0.0,0.0
A1,April 1,Northcentral,Irrigated,990003,SS,Short Season,establishment,Planting to emergence,tmax_ge38,Tmax ≥ 38°C,512,19456,0,0.0,0.0,0.0,0.0,0.0
A1,April 1,Northcentral,Irrigated,990003,SS,Short Season,establishment,Planting to emergence,tmin_le0,Tmin ≤ 0°C,512,19456,15074,77.47738486842105,4.1957750822368425,,,77.47738486842105
A1,April 1,Northcentral,Irrigated,990003,SS,Short Season,flowering15,Flowering/silking proxy (ADAT ±7 d),tmax_ge30,Tmax ≥ 30°C,512,19456,19001,97.66138980263158,6.1840563322368425,18.132036389802632,,97.66138980263158
A1,April 1,Northcentral,Irrigated,990003,SS,Short Season,flowering15,Flowering/silking proxy (ADAT ±7 d),tmax_ge35,Tmax ≥ 35°C,512,19456,8715,44.79337993421053,1.2161287006578947,2.0468698601973685,0.9249588815789473,44.79337993421053
A1,April 1,Northcentral,Irrigated,990003,SS,Short Season,flowering15,Flowering/silking proxy (ADAT ±7 d),tmax_ge38,Tmax ≥ 38°C,512,19456,2803,14.406866776315788,0.21751644736842105,0.20328433388157904,0.19109786184210525,14.40686677631579
A1,April 1,Northcentral,Irrigated,990003,SS,Short Season,flowering15,Flowering/silking proxy (ADAT ±7 d),tmin_le0,Tmin ≤ 0°C,512,19456,0,0.0,0.0,,,0.0
A1,April 1,Northcentral,Irrigated,990003,SS,Short Season,growing,Planting to maturity,tmax_ge30,Tmax ≥ 30°C,512,19456,19456,100.0,34.24306126644737,135.03803967927632,,100.0
A1,April 1,Northcentral,Irrigated,990003,SS,Short Season,growing,Planting to maturity,tmax_ge35,Tmax ≥ 35°C,512,19456,18336,94.24342105263158,11.101819490131579,27.726279810855264,4.903988486842105,94.24342105263158
A1,April 1,Northcentral,Irrigated,990003,SS,Short Season,growing,Planting to maturity,tmax_ge38,Tmax ≥ 38°C,512,19456,13451,69.13548519736842,3.7619243421052633,7.2148900082236835,2.3499691611842106,69.13548519736842
A1,April 1,Northcentral,Irrigated,990003,SS,Short Season,growing,Planting to maturity,tmin_le0,Tmin ≤ 0°C,512,19456,16701,85.83984375,4.728258634868421,,,85.83984375
A1,April 1,Northcentral,Irrigated,990003,SS,Short Season,reproductive,Anthesis to maturity,tmax_ge30,Tmax ≥ 30°C,512,19456,19456,100.0,26.631167763157894,116.44675678453947,,100.0
A1,April 1,Northcentral,Irrigated,990003,SS,Short Season,reproductive,Anthesis to maturity,tmax_ge35,Tmax ≥ 35°C,512,19456,18336,94.24342105263158,10.084549753289474,26.26724917763158,4.903988486842105,94.24342105263158
A1,April 1,Northcentral,Irrigated,990003,SS,Short Season,reproductive,Anthesis to maturity,tmax_ge38,Tmax ≥ 38°C,512,19456,13220,67.94819078947368,3.6382606907894735,7.119294819078948,2.3279708059210527,67.94819078947368
A1,April 1,Northcentral,Irrigated,990003,SS,Short Season,reproductive,Anthesis to maturity,tmin_le0,Tmin ≤ 0°C,512,19456,0,0.0,0.0,,,0.0
A1,April 1,Northcentral,Irrigated,990003,SS,Short Season,vegetative,Emergence to pre-anthesis,tmax_ge30,Tmax ≥ 30°C,512,19456,18586,95.52837171052632,7.391755756578947,18.370137746710526,,95.52837171052632
A1,April 1,Northcentral,Irrigated,990003,SS,Short Season,vegetative,Emergence to pre-anthesis,tmax_ge35,Tmax ≥ 35°C,512,19456,8293,42.62438322368421,1.0172697368421053,1.4590306332236842,0.701171875,42.62438322368421
A1,April 1,Northcentral,Irrigated,990003,SS,Short Season,vegetative,Emergence to pre-anthesis,tmax_ge38,Tmax ≥ 38°C,512,19456,1822,9.36472039473684,0.12366365131578946,0.09559518914473689,0.11117393092105263,9.364720394736842
A1,April 1,Northcentral,Irrigated,990003,SS,Short Season,vegetative,Emergence to pre-anthesis,tmin_le0,Tmin ≤ 0°C,512,19456,5190,26.675575657894736,0.5582853618421052,,,26.675575657894736
A1,April 1,Northcentral,Irrigated,990004,VSS,Very Short Season,establishment,Planting to emergence,tmax_ge30,Tmax ≥ 30°C,512,19456,4906,25.215871710526315,0.30535567434210525,0.36242804276315793,,25.215871710526315
A1,April 1,Northcentral,Irrigated,990004,VSS,Very Short Season,establishment,Planting to emergence,tmax_ge35,Tmax ≥ 35°C,512,19456,0,0.0,0.0,0.0,0.0,0.0
A1,April 1,Northcentral,Irrigated,990004,VSS,Very Short Season,establishment,Planting to emergence,tmax_ge38,Tmax ≥ 38°C,512,19456,0,0.0,0.0,0.0,0.0,0.0
A1,April 1,Northcentral,Irrigated,990004,VSS,Very Short Season,establishment,Planting to emergence,tmin_le0,Tmin ≤ 0°C,512,19456,15074,77.47738486842105,4.1957750822368425,,,77.47738486842105
A1,April 1,Northcentral,Irrigated,990004,VSS,Very Short Season,flowering15,Flowering/silking proxy (ADAT ±7 d),tmax_ge30,Tmax ≥ 30°C,512,19456,13977,71.83902138157895,2.9998972039473686,7.688425164473684,,71.83902138157895
A1,April 1,Northcentral,Irrigated,990004,VSS,Very Short Season,flowering15,Flowering/silking proxy (ADAT ±7 d),tmax_ge35,Tmax ≥ 35°C,512,19456,4651,23.90522203947368,0.4050164473684211,0.5431178042763157,0.35613692434210525,23.905222039473685
A1,April 1,Northcentral,Irrigated,990004,VSS,Very Short Season,flowering15,Flowering/silking proxy (ADAT ±7 d),tmax_ge38,Tmax ≥ 38°C,512,19456,734,3.772615131578947,0.043431332236842105,0.027837171052631587,0.04235197368421052,3.7726151315789473
A1,April 1,Northcentral,Irrigated,990004,VSS,Very Short Season,flowering15,Flowering/silking proxy (ADAT ±7 d),tmin_le0,Tmin ≤ 0°C,512,19456,101,0.5191200657894737,0.005191200657894737,,,0.5191200657894737
A1,April 1,Northcentral,Irrigated,990004,VSS,Very Short Season,growing,Planting to maturity,tmax_ge30,Tmax ≥ 30°C,512,19456,19456,100.0,22.458521792763158,74.98874897203947,,100.0
A1,April 1,Northcentral,Irrigated,990004,VSS,Very Short Season,growing,Planting to maturity,tmax_ge35,Tmax ≥ 35°C,512,19456,16586,85.24876644736842,5.576171875,11.453767475328947,2.7936369243421053,85.24876644736842
A1,April 1,Northcentral,Irrigated,990004,VSS,Very Short Season,growing,Planting to maturity,tmax_ge38,Tmax ≥ 38°C,512,19456,9792,50.328947368421055,1.3716591282894737,2.3866005345394736,1.041015625,50.328947368421055
A1,April 1,Northcentral,Irrigated,990004,VSS,Very Short Season,growing,Planting to maturity,tmin_le0,Tmin ≤ 0°C,512,19456,16701,85.83984375,4.728258634868421,,,85.83984375
A1,April 1,Northcentral,Irrigated,990004,VSS,Very Short Season,reproductive,Anthesis to maturity,tmax_ge30,Tmax ≥ 30°C,512,19456,19456,100.0,19.09971217105263,67.57925575657895,,100.0
A1,April 1,Northcentral,Irrigated,990004,VSS,Very Short Season,reproductive,Anthesis to maturity,tmax_ge35,Tmax ≥ 35°C,512,19456,16251,83.52693256578948,5.191766036184211,10.974265008223684,2.759354440789474,83.52693256578948
A1,April 1,Northcentral,Irrigated,990004,VSS,Very Short Season,reproductive,Anthesis to maturity,tmax_ge38,Tmax ≥ 38°C,512,19456,9580,49.239309210526315,1.339124177631579,2.3704872532894736,1.023694490131579,49.239309210526315
