region,records,sites,years,mean_seasonal_rainfall_mm,sd_seasonal_rainfall_mm,mean_crop_et_mm,sd_crop_et_mm,mean_tmax_c,sd_tmax_c,mean_tmin_c,sd_tmin_c,rainfall_minus_et_mm,et_to_rainfall_ratio
Northwest,455088,499,38,362.2678756636079,113.58217599151632,403.4644178708294,116.66084329817097,28.893831645615794,2.391170939750314,14.427656536537988,2.45439914994958,-41.196542207221455,1.1137184524897688
Northcentral,466944,512,38,469.16463430304276,153.77678350505317,485.69701934279055,130.76798175914803,28.7909721003161,2.3337274130147,15.684281305974592,2.2458133661099375,-16.532385039747794,1.0352379182721372
Northeast,425904,467,38,586.6331825951388,181.1360198485385,552.21034082798,139.31598554736226,27.707512633058155,2.313597900364737,15.910696783472332,2.02680438639374,34.42284176715884,0.9413213524422883
Southwest,230736,253,38,333.83232785521113,123.43386075114779,373.3248777824007,125.66451475342919,30.010647067817768,2.4524126086569056,15.33996203465259,2.669690713953155,-39.49254992718954,1.1183005557937402
Southcentral,462384,507,38,477.6867927955985,150.9892207274509,485.74759939790306,131.05361484383147,29.455695236816155,2.434266984630426,16.40200033096301,2.3004760919789464,-8.06080660230458,1.016874669184655
Southeast,490656,538,38,631.2601884008347,183.56857182935434,575.7575429628905,139.51034133227105,27.956181104052533,2.279970211004597,16.7000497679902,2.044457903744982,55.50264543794424,0.912076436217927
