region,scenario,cultivar_id,maturity_class,planting_code,planting_label,n_years,mean_yield_kg_ha,mean_flowering_edd35,flowering_ge35_site_pct,flowering_ge38_site_pct,heat_associated_penalty_kg_ha,heat_associated_penalty_pct,zeroheat_sensitivity_penalty_kg_ha,best_mean_yield_kg_ha,total_planting_date_penalty_kg_ha,total_planting_date_penalty_pct,heat_component_fraction_of_total_penalty
Northcentral,Irrigated,990001,LS,A1,April 1,38,6001.319952713816,15.8970703125,87.00657894736842,54.91879111842105,-343.6079464416528,-9.190579108539353,-343.6079464416528,7201.0372121710525,1199.7172594572367,16.660339672033604,-0.28640743786340483
Northcentral,Irrigated,990001,LS,A10,April 10,38,6075.6473581414475,17.235176809210525,88.20415296052632,58.05407072368421,-372.53050993395897,-9.848218138511646,-372.53050993395897,7201.0372121710525,1125.389854029605,15.62816328913692,-0.3310235191832101
Northcentral,Irrigated,990001,LS,A20,April 20,38,6272.234837582237,19.279579564144736,91.09272203947368,66.71463815789474,-416.7193458964095,-10.336900176214531,-416.7193458964095,7201.0372121710525,928.8023745888158,12.898174904845266,-0.44866309270676946
Northcentral,Irrigated,990001,LS,M1,May 1,38,6495.092156661184,20.67015316611842,92.2594572368421,69.95271381578947,-446.7759620123011,-10.275612040444473,-446.7759620123011,7201.0372121710525,705.9450555098683,9.803380189685642,-0.6328763953019225
Northcentral,Irrigated,990001,LS,M10,May 10,38,6669.3661081414475,20.524665912828947,91.6272615131579,73.40666118421053,-443.6313211851844,-9.706211991161434,-443.6313211851844,7201.0372121710525,531.671104029605,7.383257277590301,-0.8344093139966503
Northcentral,Irrigated,990001,LS,M20,May 20,38,7201.0372121710525,19.092804276315793,87.45374177631578,68.31311677631578,-412.68228297630105,-8.173699945130044,-412.68228297630105,7201.0372121710525,0.0,0.0,
Northcentral,Irrigated,990002,MS,A1,April 1,38,7193.840614720395,6.20891755756579,74.55283717105263,31.4453125,3.7922168889061045,0.057430571455133375,3.7922168889061045,7848.225020559211,654.3844058388158,8.337992401142811,0.005795090553915463
Northcentral,Irrigated,990002,MS,A10,April 10,38,7174.0826994243425,8.060665090460526,80.52014802631578,38.85176809210527,4.92320762974386,0.07580271577304701,4.92320762974386,7848.225020559211,674.1423211348683,8.58974251335665,0.007302920281663978
Northcentral,Irrigated,990002,MS,A20,April 20,38,7064.59375,10.375328947368422,79.31229440789474,46.80818256578947,6.336933498854921,0.10673314688982573,6.336933498854921,7848.225020559211,783.6312705592109,9.984821644466237,0.008086626627766899
Northcentral,Irrigated,990002,MS,M1,May 1,38,7148.110608552632,15.06219675164474,83.85074013157895,56.902754934210535,9.199528963951492,0.15884512735124068,9.199528963951492,7848.225020559211,700.1144120065792,8.920672001281302,0.013140036551433027
Northcentral,Irrigated,990002,MS,M10,May 10,38,7392.204615542763,17.55425575657895,89.51994243421053,60.45949835526315,10.72160236226012,0.17817911601698425,10.72160236226012,7848.225020559211,456.0204050164475,5.810490955876729,0.023511233805148298
Northcentral,Irrigated,990002,MS,M20,May 20,38,7848.225020559211,19.299198190789475,92.4085115131579,68.61122532894737,11.787359816410738,0.17819319710703013,11.787359816410738,7848.225020559211,0.0,0.0,
Northcentral,Irrigated,990003,SS,A1,April 1,38,4288.910618832237,2.0468698601973685,44.79337993421053,14.406866776315788,-0.17447287919372015,-0.004498140000014525,-0.17447287919372015,4456.744500411184,167.8338815789475,3.76584032500546,-0.0010395569568689843
Northcentral,Irrigated,990003,SS,A10,April 10,38,4307.631990131579,2.6352282072368425,53.60300164473685,18.467310855263158,-0.22462388136634553,-0.00551524339816425,-0.22462388136634553,4456.744500411184,149.11251027960498,3.3457720151076127,-0.0015064053374538938
Northcentral,Irrigated,990003,SS,A20,April 20,38,4245.990285773027,4.131784539473685,64.1858552631579,23.874383223684212,-0.3521886558731144,-0.008968368367596024,-0.3521886558731144,4456.744500411184,210.75421463815746,4.728882587249798,-0.001671087130939634
Northcentral,Irrigated,990003,SS,M1,May 1,38,4204.680612664473,5.988677014802632,72.93379934210526,31.38363486842105,-0.510468076965684,-0.013464247600598543,-0.510468076965684,4456.744500411184,252.06388774671086,5.6557850180429945,-0.0020251535494788266
Northcentral,Irrigated,990003,SS,M10,May 10,38,4200.271330180921,10.856142064144738,79.33285361842105,47.61513157894737,-0.9253653100763227,-0.02731541981967523,-0.9253653100763227,4456.744500411184,256.47317023026335,5.754720069921012,-0.0036080394266796933
Northcentral,Irrigated,990003,SS,M20,May 20,38,4456.744500411184,16.14722964638158,86.86780427631578,58.0078125,-1.3763716502888343,-0.03728053126029019,-1.3763716502888343,4456.744500411184,0.0,0.0,
Northcentral,Irrigated,990004,VSS,A1,April 1,38,2358.7732833059213,0.5431178042763157,23.905222039473685,3.772615131578947,-4.060837461580156,-0.1659177289811409,-4.060837461580156,2924.1726973684213,565.3994140625,19.335363283137323,-0.007182245613596029
